date,hour,link,token,price,title,description
2024-06-24,10:30:00,https://www.yad2.co.il/realestate/item/3x2qbj4t?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=226,3x2qbj4t,"3,500,000 ₪","דופלקס, אשדוד
6 חדרים • קומה 14 • 180 מ״ר","דופלקס, אשדוד"
2024-06-24,10:30:00,https://www.yad2.co.il/realestate/item/2oj505wg?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=226,2oj505wg,"5,950,000 ₪","אמסטרדם
דירה, תל אביב יפו
3 חדרים • קומה 1 • 105 מ״ר","דירה, תל אביב יפו"
2024-06-24,10:30:01,https://www.yad2.co.il/realestate/item/23roiq9r?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=226,23roiq9r,"2,400,000 ₪","גולומב
דירת גן, מרכז, קרית עבודה, חולון
3 חדרים • קומה קרקע • 85 מ״ר","דירת גן, מרכז, קרית עבודה, חולון"
2024-06-24,10:30:01,https://www.yad2.co.il/realestate/item/ffy1h6hl?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=226,ffy1h6hl,"850,000 ₪","האגם 1
מגרשים, האגם, ירוחם
1 חדרים • קומה קרקע • 583 מ״ר","מגרשים, האגם, ירוחם"
2024-06-24,10:30:01,https://www.yad2.co.il/realestate/item/iv47y5or?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=226,iv47y5or,"4,400,000 ₪","קינמון 7
בית פרטי/ קוטג', שאר העיר, עומר
8 חדרים • קומה קרקע • 600 מ״ר","בית פרטי/ קוטג', שאר העיר, עומר"
2024-06-24,10:30:02,https://www.yad2.co.il/realestate/item/2wnh85nu?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=226,2wnh85nu,"1,785,000 ₪","נחל צאלים 4
דירת גן, נאות שקמה, שדרות
4 חדרים • קומה 1 • 141 מ״ר","דירת גן, נאות שקמה, שדרות"
2024-06-24,10:30:03,https://www.yad2.co.il/realestate/item/tzqcydry?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=226,tzqcydry,"3,880,000 ₪","ציפורן 72
בית פרטי/ קוטג', שאר העיר, עומר
5 חדרים • קומה קרקע • 600 מ״ר","בית פרטי/ קוטג', שאר העיר, עומר"
2024-06-24,10:30:03,https://www.yad2.co.il/realestate/item/p1prtqp7?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=226,p1prtqp7,"1,550,000 ₪","יאיר שטרן 10
דירה, קרית מנחם בגין, רמלה
3.5 חדרים • קומה 2 • 72 מ״ר","דירה, קרית מנחם בגין, רמלה"
2024-06-24,10:30:03,https://www.yad2.co.il/realestate/item/ejglwxq3?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=226,ejglwxq3,"6,700,000 ₪","הארז 57
דו משפחתי, נווה סביון, אור יהודה
8 חדרים • קומה קרקע • 280 מ״ר","דו משפחתי, נווה סביון, אור יהודה"
2024-06-24,10:30:04,https://www.yad2.co.il/realestate/item/m65fm414?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=226,m65fm414,"2,670,000 ₪","צבי הרלינג 14
דירה, קרית הרצוג, בני ברק
4 חדרים • קומה 2 • 180 מ״ר","דירה, קרית הרצוג, בני ברק"
2024-06-24,10:30:04,https://www.yad2.co.il/realestate/item/ow57j787?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=226,ow57j787,"3,500,000 ₪","ד""ר יוחנן בדר 8
דירה, מרום נווה, רמת יצחק, רמת גן
4 חדרים • קומה 13 • 100 מ״ר","דירה, מרום נווה, רמת יצחק, רמת גן"
2024-06-24,10:30:05,https://www.yad2.co.il/realestate/item/8l8m4yvd?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=226,8l8m4yvd,"2,350,000 ₪","נאות גולף 1
דירה, נאות גולף, קיסריה
3 חדרים • קומה 2 • 62 מ״ר","דירה, נאות גולף, קיסריה"
2024-06-24,10:30:05,https://www.yad2.co.il/realestate/item/ed2izfnq?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=226,ed2izfnq,"2,650,000 ₪","יגאל אלון 8
דירה, המרכז האזרחי, רמלה
5 חדרים • קומה 4 • 140 מ״ר","דירה, המרכז האזרחי, רמלה"
2024-06-24,10:30:06,https://www.yad2.co.il/realestate/item/1f6bdf8q?opened-from=feed&component-type=main_feed&spot=standard&location=14&pagination=226,1f6bdf8q,"3,190,000 ₪","הרב יעקב ברמן 2
דירה, רחובות המדע, רחובות
5 חדרים • קומה 3 • 125 מ״ר","דירה, רחובות המדע, רחובות"
