date,hour,link,token,price,title,description
2024-06-24,10:35:55,https://www.yad2.co.il/realestate/item/a5jcjp6o?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=742,a5jcjp6o,"3,050,000 ₪","הכרם
דירה, ב' / צפון מערב העיר, רחובות
5 חדרים • קומה 1 • 120 מ״ר","דירה, ב' / צפון מערב העיר, רחובות"
2024-06-24,10:35:56,https://www.yad2.co.il/realestate/item/618x3a1n?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=742,618x3a1n,"1,800,000 ₪","יעקב מרידור
דירה, ברנע, אשקלון
4 חדרים • קומה 1 • 123 מ״ר","דירה, ברנע, אשקלון"
2024-06-24,10:35:56,https://www.yad2.co.il/realestate/item/pdcqdk14?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=742,pdcqdk14,"5,590,000 ₪","גני צבי
בית פרטי/ קוטג', גני צבי, הוד השרון
8 חדרים • קומה קרקע • 513 מ״ר","בית פרטי/ קוטג', גני צבי, הוד השרון"
2024-06-24,10:35:58,https://www.yad2.co.il/realestate/item/6ngo6ca7?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=742,6ngo6ca7,"5,475,000 ₪","משק חקלאי/ נחלה, תאשור
קומה קרקע • 3000 מ״ר","משק חקלאי/ נחלה, תאשור"
2024-06-24,10:35:58,https://www.yad2.co.il/realestate/item/a2adrjhc?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=742,a2adrjhc,"1,730,000 ₪","יהושע בן נון
דירה, פתח תקווה
3.5 חדרים • קומה 2 • 69 מ״ר","דירה, פתח תקווה"
2024-06-24,10:36:00,https://www.yad2.co.il/realestate/item/m3kmo27a?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=742,m3kmo27a,"2,800,000 ₪","ישראל מסלנט
דירה, שפירא, תל אביב יפו
3 חדרים • קומה 2 • 60 מ״ר","דירה, שפירא, תל אביב יפו"
2024-06-24,10:36:03,https://www.yad2.co.il/realestate/item/czuv6a3h?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=742,czuv6a3h,"1,790,000 ₪","דירה, קרית גת
4 חדרים • קומה 18 • 100 מ״ר","דירה, קרית גת"
2024-06-24,10:36:03,https://www.yad2.co.il/realestate/item/2rjsxz07?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=742,2rjsxz07,"4,090,000 ₪","קרית שז""ר
מגרשים, קרית שז""ר, רעננה
קומה קרקע • 264 מ״ר","מגרשים, קרית שז""ר, רעננה"
2024-06-24,10:36:03,https://www.yad2.co.il/realestate/item/o23nvd2p?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=742,o23nvd2p,"2,790,000 ₪","תאשור
דירה, קרית השרון, נתניה
4 חדרים • קומה 4 • 100 מ״ר","דירה, קרית השרון, נתניה"
2024-06-24,10:36:05,https://www.yad2.co.il/realestate/item/p3z47cg3?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=742,p3z47cg3,"4,250,000 ₪","גבעת קוזלובסקי
דופלקס, גבעת קוזלובסקי, גבעתיים
5 חדרים • קומה 2 • 135 מ״ר","דופלקס, גבעת קוזלובסקי, גבעתיים"
2024-06-24,10:36:06,https://www.yad2.co.il/realestate/item/foeow8yq?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=742,foeow8yq,"690,000 ₪","דירה, באר שבע
3 חדרים • קומה 2 • 60 מ״ר","דירה, באר שבע"
2024-06-24,10:36:06,https://www.yad2.co.il/realestate/item/p8lcu9s2?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=742,p8lcu9s2,"1,900,000 ₪","דרך היין
דירה, אשקלון
4 חדרים • קומה 6 • 110 מ״ר","דירה, אשקלון"
2024-06-24,10:36:07,https://www.yad2.co.il/realestate/item/zxbpb3n2?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=742,zxbpb3n2,"2,720,000 ₪","אל על
דירה, שכונת בן גוריון, מרכז העיר ג', רמת גן
3 חדרים • קומה 2 • 84 מ״ר","דירה, שכונת בן גוריון, מרכז העיר ג', רמת גן"
2024-06-24,10:36:07,https://www.yad2.co.il/realestate/item/3od5meey?opened-from=feed&component-type=main_feed&spot=standard&location=14&pagination=742,3od5meey,"4,700,000 ₪","אריאל שרון
דירה, סיטי, גבעתיים
5 חדרים • קומה 10 • 133 מ״ר","דירה, סיטי, גבעתיים"
2024-06-24,10:36:08,https://www.yad2.co.il/realestate/item/32o0t2fi?opened-from=feed&component-type=main_feed&spot=standard&location=15&pagination=742,32o0t2fi,"5,950,000 ₪","בית פרטי/ קוטג', אבן יהודה
4 חדרים • קומה קרקע • 380 מ״ר","בית פרטי/ קוטג', אבן יהודה"
2024-06-24,10:36:08,https://www.yad2.co.il/realestate/item/p1d2iik5?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=742,p1d2iik5,"2,190,000 ₪","דירה, נתניה
5 חדרים • קומה 5 • 115 מ״ר","דירה, נתניה"
2024-06-24,10:36:08,https://www.yad2.co.il/realestate/item/tp9rqtts?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=742,tp9rqtts,"4,200,000 ₪","הדר
דירה, הדר, רמת השרון
5 חדרים • קומה 7 • 150 מ״ר","דירה, הדר, רמת השרון"
2024-06-24,10:36:09,https://www.yad2.co.il/realestate/item/w61gnreo?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=742,w61gnreo,"2,750,000 ₪","דירה, קרית אונו
4 חדרים • קומה 4 • 110 מ״ר","דירה, קרית אונו"
2024-06-24,10:36:09,https://www.yad2.co.il/realestate/item/uk7hut9e?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=742,uk7hut9e,"5,000,000 ₪","התאנה
משק חקלאי/ נחלה, שדה צבי
קומה קרקע • 40000 מ״ר","משק חקלאי/ נחלה, שדה צבי"
2024-06-24,10:36:09,https://www.yad2.co.il/realestate/item/0m28975k?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=742,0m28975k,"1,830,000 ₪","אלי כהן
דירה, גבעת אולגה, חדרה
3 חדרים • קומה 1 • 56 מ״ר","דירה, גבעת אולגה, חדרה"
2024-06-24,10:36:09,https://www.yad2.co.il/realestate/item/jj5u3ar0?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=742,jj5u3ar0,"750,000 ₪","מילוס
דירה, באר שבע
3 חדרים • קומה 3 • 62 מ״ר","דירה, באר שבע"
2024-06-24,10:36:10,https://www.yad2.co.il/realestate/item/6v7ti2rz?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=742,6v7ti2rz,"4,500,000 ₪","בית פרטי/ קוטג', נתיבות
7 חדרים • קומה קרקע • 468 מ״ר","בית פרטי/ קוטג', נתיבות"
