date,hour,link,token,price,title,description
2024-06-24,10:32:32,https://www.yad2.co.il/realestate/item/vc0dt38y?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=483,vc0dt38y,"5,000,000 ₪","הגיתית
דירת גן, ראשון לציון
5 חדרים • קומה קרקע • 235 מ״ר","דירת גן, ראשון לציון"
2024-06-24,10:32:32,https://www.yad2.co.il/realestate/item/vv0k4zq8?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=483,vv0k4zq8,"2,200,000 ₪","דירה, נס ציונה
3 חדרים • קומה 1 • 89 מ״ר","דירה, נס ציונה"
2024-06-24,10:32:33,https://www.yad2.co.il/realestate/item/hjq686nr?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=483,hjq686nr,"3,620,000 ₪","הציונות
גג/ פנטהאוז, רובע הקריה, הסיטי, אשדוד
7 חדרים • קומה 10 • 245 מ״ר","גג/ פנטהאוז, רובע הקריה, הסיטי, אשדוד"
2024-06-24,10:32:33,https://www.yad2.co.il/realestate/item/h4x9egek?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=483,h4x9egek,"1,850,000 ₪","מבוא הסיפן 12
דירה, רובע ח', אשדוד
3.5 חדרים • קומה 4 • 90 מ״ר","דירה, רובע ח', אשדוד"
2024-06-24,10:32:33,https://www.yad2.co.il/realestate/item/tdpc3iol?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=483,tdpc3iol,"2,390,000 ₪","חיים וייצמן 4
דירה, א' / צפון מזרח העיר, רחובות
4 חדרים • קומה 3 • 95 מ״ר","דירה, א' / צפון מזרח העיר, רחובות"
2024-06-24,10:32:33,https://www.yad2.co.il/realestate/item/qs3in4qi?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=483,qs3in4qi,"5,500,000 ₪","בית פרטי/ קוטג', תל מונד
6 חדרים • קומה קרקע • 330 מ״ר","בית פרטי/ קוטג', תל מונד"
2024-06-24,10:32:34,https://www.yad2.co.il/realestate/item/216a942l?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=483,216a942l,"2,880,000 ₪","דירה, תל אביב יפו
4.5 חדרים • קומה 2 • 87 מ״ר","דירה, תל אביב יפו"
2024-06-24,10:32:35,https://www.yad2.co.il/realestate/item/nc5bt4xl?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=483,nc5bt4xl,"1,980,000 ₪","א.ד. גורדון
דירה, נתניה
5 חדרים • קומה 2 • 120 מ״ר","דירה, נתניה"
2024-06-24,10:32:35,https://www.yad2.co.il/realestate/item/1nd62lvn?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=483,1nd62lvn,"11,200,000 ₪","גג/ פנטהאוז, נתניה
5 חדרים • קומה 17 • 220 מ״ר","גג/ פנטהאוז, נתניה"
2024-06-24,10:32:35,https://www.yad2.co.il/realestate/item/kpxaj79d?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=483,kpxaj79d,לא צוין מחיר,"מיכל לייב כץ
דירה, כפר גנים ב, פתח תקווה
5 חדרים • קומה 22 • 155 מ״ר","דירה, כפר גנים ב, פתח תקווה"
2024-06-24,10:32:36,https://www.yad2.co.il/realestate/item/srx2uief?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=483,srx2uief,"1,530,000 ₪","א.ס. לוי 11
דירה, בן גוריון, רמלה
3 חדרים • קומה 3 • 75 מ״ר","דירה, בן גוריון, רמלה"
2024-06-24,10:32:36,https://www.yad2.co.il/realestate/item/z1x9oplh?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=483,z1x9oplh,"2,475,000 ₪","התנאים
דירה, הר שלום, בני ברק
3.5 חדרים • קומה 3 • 85 מ״ר","דירה, הר שלום, בני ברק"
