date,hour,link,token,price,title,description
2024-06-24,10:27:31,https://www.yad2.co.il/realestate/item/39sfs4mt?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=2,39sfs4mt,"6,750,000 ₪","הרב עמיאל
דירה, הצפון החדש - צפון, תל אביב יפו
3.5 חדרים • קומה 2 • 103 מ״ר","דירה, הצפון החדש - צפון, תל אביב יפו"
2024-06-24,10:27:31,https://www.yad2.co.il/realestate/item/ce75i3al?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=2,ce75i3al,"2,600,000 ₪","גג/ פנטהאוז, נתיבות
5 חדרים • קומה 8 • 155 מ״ר","גג/ פנטהאוז, נתיבות"
2024-06-24,10:27:31,https://www.yad2.co.il/realestate/item/k4449x28?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=2,k4449x28,"5,600,000 ₪","הפרדס
גג/ פנטהאוז, הדר, הוד השרון
6 חדרים • קומה 21 • 146 מ״ר","גג/ פנטהאוז, הדר, הוד השרון"
2024-06-24,10:27:31,https://www.yad2.co.il/realestate/item/d6vv70jh?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=2,d6vv70jh,"1,350,000 ₪","משעול חובבי ציון 5
דירה, נאות יצחק רבין, שדרות
4 חדרים • קומה 1 • 120 מ״ר","דירה, נאות יצחק רבין, שדרות"
2024-06-24,10:27:32,https://www.yad2.co.il/realestate/item/d9dotki1?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=2,d9dotki1,"3,999,999 ₪","הגת 16
דופלקס, קרית כרמים, ראשון לציון
6 חדרים • קומה 9 • 257 מ״ר","דופלקס, קרית כרמים, ראשון לציון"
2024-06-24,10:27:32,https://www.yad2.co.il/realestate/item/omtlab9o?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=2,omtlab9o,"3,200,000 ₪","אחד העם 45
דירה, רמת השקמה, רמת גן
4 חדרים • קומה 1 • 85 מ״ר","דירה, רמת השקמה, רמת גן"
2024-06-24,10:27:32,https://www.yad2.co.il/realestate/item/6k6o74vk?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=2,6k6o74vk,"2,180,000 ₪","אריה דולצ'ין 3
דירה, גבעתי, רחובות
4 חדרים • קומה 4 • 100 מ״ר","דירה, גבעתי, רחובות"
2024-06-24,10:27:32,https://www.yad2.co.il/realestate/item/o6eqge1y?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=2,o6eqge1y,"3,300,000 ₪","שדרות בן גוריון 141
דירה, אגמים, נתניה
4 חדרים • קומה 16 • 142 מ״ר","דירה, אגמים, נתניה"
2024-06-24,10:27:32,https://www.yad2.co.il/realestate/item/ro7rmo23?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=2,ro7rmo23,"3,590,000 ₪","פשוש 7
דירה, רמות מנחם, הוד השרון
4 חדרים • קומה 9 • 110 מ״ר","דירה, רמות מנחם, הוד השרון"
2024-06-24,10:27:33,https://www.yad2.co.il/realestate/item/u5fkqely?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=2,u5fkqely,"6,200,000 ₪","שדרות לוי אשכול 2
דירה, כוכב הצפון, תל אביב יפו
3 חדרים • קומה 3 • 90 מ״ר","דירה, כוכב הצפון, תל אביב יפו"
