date,hour,link,token,price,title,description
2024-06-24,10:28:10,https://www.yad2.co.il/realestate/item/kgs1i5o2?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=84,kgs1i5o2,"4,490,000 ₪","סוסנובסקי
דירה, כפר סבא
6 חדרים • קומה 2 • 180 מ״ר","דירה, כפר סבא"
2024-06-24,10:28:10,https://www.yad2.co.il/realestate/item/ymwe45ez?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=84,ymwe45ez,"4,900,000 ₪","תמר 60
בית פרטי/ קוטג', שאר העיר, עומר
6 חדרים • קומה קרקע • 237 מ״ר","בית פרטי/ קוטג', שאר העיר, עומר"
2024-06-24,10:28:11,https://www.yad2.co.il/realestate/item/mpnpl1ya?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=84,mpnpl1ya,"3,750,000 ₪","הבוצרים
דירת גן, קרית כרמים, ראשון לציון
4 חדרים • קומה 1 • 220 מ״ר","דירת גן, קרית כרמים, ראשון לציון"
2024-06-24,10:28:12,https://www.yad2.co.il/realestate/item/ycu7thr4?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=84,ycu7thr4,"4,790,000 ₪","אלומה
בית פרטי/ קוטג', אלומה, אלומה
7.5 חדרים • קומה קרקע • 304 מ״ר","בית פרטי/ קוטג', אלומה, אלומה"
2024-06-24,10:28:12,https://www.yad2.co.il/realestate/item/0hggkmyo?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=84,0hggkmyo,"5,590,000 ₪","ההתיישבות 51
דירה, מרום ראשון, ראשון לציון
5 חדרים • קומה 9 • 220 מ״ר","דירה, מרום ראשון, ראשון לציון"
2024-06-24,10:28:13,https://www.yad2.co.il/realestate/item/6lxf6phb?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=84,6lxf6phb,"5,590,000 ₪","ההתיישבות 51
גג/ פנטהאוז, מרום ראשון, ראשון לציון
5 חדרים • קומה 9 • 220 מ״ר","גג/ פנטהאוז, מרום ראשון, ראשון לציון"
2024-06-24,10:28:14,https://www.yad2.co.il/realestate/item/7iofk624?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=84,7iofk624,"1,500,000 ₪","יעקב מרש 1
מגרשים, רמות, באר שבע
קומה קרקע • 270 מ״ר","מגרשים, רמות, באר שבע"
2024-06-24,10:28:14,https://www.yad2.co.il/realestate/item/warz901e?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=84,warz901e,"2,900,000 ₪","בנימין מינץ 6
דירה, גבעת רוקח, בני ברק
4.5 חדרים • קומה 1 • 130 מ״ר","דירה, גבעת רוקח, בני ברק"
2024-06-24,10:28:14,https://www.yad2.co.il/realestate/item/d1cvd4o6?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=84,d1cvd4o6,"3,000,000 ₪","ממשית 9
דו משפחתי, שער הדרום, קרית גת
5 חדרים • קומה 1 • 220 מ״ר","דו משפחתי, שער הדרום, קרית גת"
2024-06-24,10:28:14,https://www.yad2.co.il/realestate/item/22dkfqzi?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=84,22dkfqzi,לא צוין מחיר,"יוסף אהרונוביץ' 22
דירה, נווה רמז, חולון
4 חדרים • קומה 2 • 95 מ״ר","דירה, נווה רמז, חולון"
