date,hour,link,token,price,title,description
2024-06-24,10:29:05,https://www.yad2.co.il/realestate/item/3ccs030b?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=165,3ccs030b,"1,990,000 ₪","רות
דירת גן, שעריה, פתח תקווה
4 חדרים • קומה 1 • 75 מ״ר","דירת גן, שעריה, פתח תקווה"
2024-06-24,10:29:05,https://www.yad2.co.il/realestate/item/jdha6rkj?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=165,jdha6rkj,"4,880,000 ₪","בית אל 39
דירה, נווה שרת, תל אביב יפו
4 חדרים • קומה 20 • 108 מ״ר","דירה, נווה שרת, תל אביב יפו"
2024-06-24,10:29:05,https://www.yad2.co.il/realestate/item/n1cszqnf?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=165,n1cszqnf,"11,500,000 ₪","האלמוגים
דו משפחתי, רובע ד', אשדוד
6 חדרים • קומה קרקע • 350 מ״ר","דו משפחתי, רובע ד', אשדוד"
2024-06-24,10:29:05,https://www.yad2.co.il/realestate/item/hcf3s3cj?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=165,hcf3s3cj,"2,400,000 ₪","הסיתוונית 15
דירה, קרית ראשון, ראשון לציון
3 חדרים • קומה 4 • 82 מ״ר","דירה, קרית ראשון, ראשון לציון"
2024-06-24,10:29:05,https://www.yad2.co.il/realestate/item/83vgb32b?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=165,83vgb32b,"2,750,000 ₪","ראובן ובת שבע 3
דירה, קדמת ראשון, ראשון לציון
6 חדרים • קומה 1 • 120 מ״ר","דירה, קדמת ראשון, ראשון לציון"
2024-06-24,10:29:06,https://www.yad2.co.il/realestate/item/u4uddjp9?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=165,u4uddjp9,"3,800,000 ₪","יחזקאל זונאבנד 1
דו משפחתי, אפרידר, אשקלון
6 חדרים • קומה קרקע • 405 מ״ר","דו משפחתי, אפרידר, אשקלון"
2024-06-24,10:29:06,https://www.yad2.co.il/realestate/item/85k2r2m8?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=165,85k2r2m8,"2,180,000 ₪","הערבה 22
דירה, ג'סי כהן, חולון
3.5 חדרים • קומה 4 • 82 מ״ר","דירה, ג'סי כהן, חולון"
2024-06-24,10:29:06,https://www.yad2.co.il/realestate/item/8l7bfwmc?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=165,8l7bfwmc,"1,950,000 ₪","חזון אי""ש 11
דירה, רמב""ם, ראשון לציון
3 חדרים • קומה 1 • 75 מ״ר","דירה, רמב""ם, ראשון לציון"
2024-06-24,10:29:06,https://www.yad2.co.il/realestate/item/i9nyh10c?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=165,i9nyh10c,"3,290,000 ₪","הציונות 99
דירה, רובע הקריה, הסיטי, אשדוד
5 חדרים • קומה 3 • 170 מ״ר","דירה, רובע הקריה, הסיטי, אשדוד"
2024-06-24,10:29:07,https://www.yad2.co.il/realestate/item/p9xkx51s?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=165,p9xkx51s,"2,990,000 ₪","חנה סנש 12
דירה, אגרובנק, חולון
4 חדרים • קומה 4 • 115 מ״ר","דירה, אגרובנק, חולון"
