date,hour,link,token,price,title,description
2024-06-20,20:09:34,https://www.yad2.co.il/realestate/item/6n7cr10z?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=1,6n7cr10z,"1,580,000 ₪","אדוריים
דירה, ההעפלה, קרית גת
4 חדרים • קומה 8 • 95 מ״ר","דירה, ההעפלה, קרית גת"
2024-06-20,20:09:34,https://www.yad2.co.il/realestate/item/u2w1afrq?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=1,u2w1afrq,"6,000,000 ₪","נחלת יהודה
מגרשים, נחלת יהודה, ראשון לציון
קומה קרקע • 498 מ״ר","מגרשים, נחלת יהודה, ראשון לציון"
2024-06-20,20:09:34,https://www.yad2.co.il/realestate/item/6w7rvenx?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=1,6w7rvenx,"1,700,000 ₪","וייצמן 130
דירה, עין שרה, נהריה
4 חדרים • קומה 2 • 110 מ״ר","דירה, עין שרה, נהריה"
2024-06-20,20:09:35,https://www.yad2.co.il/realestate/item/w01hr8a0?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=1,w01hr8a0,"1,750,000 ₪","התקווה 1
דירה, מרכז אזרחי, באר שבע
4 חדרים • קומה 14 • 146 מ״ר","דירה, מרכז אזרחי, באר שבע"
2024-06-20,20:09:35,https://www.yad2.co.il/realestate/item/80krj3tj?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=1,80krj3tj,"5,600,000 ₪","דוד מרכוס 14
דופלקס, רמת החייל, תל אביב יפו
5 חדרים • קומה 1 • 180 מ״ר","דופלקס, רמת החייל, תל אביב יפו"
2024-06-20,20:09:35,https://www.yad2.co.il/realestate/item/zk3ogl79?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=1,zk3ogl79,"2,099,000 ₪","נחל רמון 10
דירה, הפארק, חדרה
3 חדרים • קומה 1 • 98 מ״ר","דירה, הפארק, חדרה"
2024-06-20,20:09:35,https://www.yad2.co.il/realestate/item/1j62naib?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=1,1j62naib,"3,850,000 ₪","פאת השולחן 9
דירה, נחלת יצחק, תל אביב יפו
4 חדרים • קומה 3 • 90 מ״ר","דירה, נחלת יצחק, תל אביב יפו"
2024-06-20,20:09:35,https://www.yad2.co.il/realestate/item/ls13b2al?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=1,ls13b2al,"3,900,000 ₪","חלמית 2
דירה, יפו ד', גבעת התמרים, תל אביב יפו
5 חדרים • קומה 3 • 103 מ״ר","דירה, יפו ד', גבעת התמרים, תל אביב יפו"
2024-06-20,20:09:36,https://www.yad2.co.il/realestate/item/qdky8101?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=1,qdky8101,"1,920,000 ₪","השייטת 9
דירה, אפרידר, אשקלון
4 חדרים • קומה 3 • 120 מ״ר","דירה, אפרידר, אשקלון"
2024-06-20,20:09:36,https://www.yad2.co.il/realestate/item/qn6a2mtt?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=1,qn6a2mtt,"2,400,000 ₪","מבצע נחשון 3
דירה, נווה ים, ראשון לציון
3 חדרים • קומה 5 • 76 מ״ר","דירה, נווה ים, ראשון לציון"
2024-06-20,20:09:36,https://www.yad2.co.il/realestate/item/i2xxd5ij?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=1,i2xxd5ij,"2,380,000 ₪","יהודה הלוי 7
דירה, רובע ה', אשדוד
4.5 חדרים • קומה 3 • 139 מ״ר","דירה, רובע ה', אשדוד"
2024-06-20,20:09:36,https://www.yad2.co.il/realestate/item/oxmyjfvx?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=1,oxmyjfvx,"7,700,000 ₪","יטקובסקי אחים 36
גג/ פנטהאוז, כפר גנים ג, פתח תקווה
6 חדרים • קומה 8 • 330 מ״ר","גג/ פנטהאוז, כפר גנים ג, פתח תקווה"
2024-06-20,20:09:36,https://www.yad2.co.il/realestate/item/590x3wja?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=1,590x3wja,"3,850,000 ₪","האבות 11
דירה, השומר, ראשון לציון
5 חדרים • קומה 3 • 120 מ״ר","דירה, השומר, ראשון לציון"
2024-06-20,20:09:36,https://www.yad2.co.il/realestate/item/b97ehayx?opened-from=feed&component-type=main_feed&spot=standard&location=14&pagination=1,b97ehayx,"13,800,000 ₪","השיקמה 74
בית פרטי/ קוטג', גני יהודה, סביון
12 חדרים • קומה קרקע • 1600 מ״ר","בית פרטי/ קוטג', גני יהודה, סביון"
2024-06-20,20:09:37,https://www.yad2.co.il/realestate/item/x2mf5y2c?opened-from=feed&component-type=main_feed&spot=standard&location=15&pagination=1,x2mf5y2c,"2,800,000 ₪","שדרות ז'בוטינסקי 48
דירה, מרכז העיר דרום, נתניה
3 חדרים • קומה 2 • 99 מ״ר","דירה, מרכז העיר דרום, נתניה"
2024-06-20,20:09:37,https://www.yad2.co.il/realestate/item/d4zzfzu0?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=1,d4zzfzu0,"890,000 ₪","חטיבת כרמלי 50
דירה, נווה פז, חיפה
2 חדרים • קומה 8 • 45 מ״ר","דירה, נווה פז, חיפה"
2024-06-20,20:09:37,https://www.yad2.co.il/realestate/item/vh2enawb?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=1,vh2enawb,"3,150,000 ₪","יעקב תמרי 5
דירה, חצרות המושבה, רחובות
5 חדרים • קומה 17 • 141 מ״ר","דירה, חצרות המושבה, רחובות"
2024-06-20,20:09:37,https://www.yad2.co.il/realestate/item/chmgxufs?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=1,chmgxufs,"2,350,000 ₪","אורט 7
גג/ פנטהאוז, אפרידר, אשקלון
5 חדרים • קומה 9 • 210 מ״ר","גג/ פנטהאוז, אפרידר, אשקלון"
2024-06-20,20:09:37,https://www.yad2.co.il/realestate/item/xssric2r?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=1,xssric2r,"4,200,000 ₪","יסעור
בית פרטי/ קוטג', יסעור
4 חדרים • קומה 1 • 500 מ״ר","בית פרטי/ קוטג', יסעור"
2024-06-20,20:09:38,https://www.yad2.co.il/realestate/item/nuv09nmp?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=1,nuv09nmp,"3,300,000 ₪","סיגלית 11
דו משפחתי, שאר העיר, כפר תבור
6 חדרים • קומה 1 • 380 מ״ר","דו משפחתי, שאר העיר, כפר תבור"
2024-06-20,20:09:38,https://www.yad2.co.il/realestate/item/rlx3xk18?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=1,rlx3xk18,"2,089,000 ₪","עזרא 7
דירה, ג' / מרכז מזרח העיר, רחובות
4 חדרים • קומה 4 • 100 מ״ר","דירה, ג' / מרכז מזרח העיר, רחובות"
